YEAR,2546,2547,2548,2549,2550,2551,2552,2553,2554,2555,2556,2557,2558,2559
JAN,35,43,40,69,68,80,46,93,154,101,87,68,58,37
FEB,37,44,44,73,75,84,46,96,174,111,84,63,59,38
MAR,41,47,46,75,72,82,46,101,145,109,79,67,51,46
APR,39,49,48,68,75,84,52,112,158,108,75,64,49,55
MAY,38,51,50,89,77,92,54,106,143,105,83,61,56,58
JUN,39,52,56,98,72,101,52,110,138,92,79,63,57,54
JUL,38,47,65,85,64,101,54,100,130,89,72,59,51,56
AUG,39,46,61,73,67,92,63,99,128,81,72,54,47,54
SEP,40,46,64,60,68,92,67,103,126,83,78,48,43,51
OCT,47,47,64,61,73,61,71,106,112,87,74,48,41,
NOV,45,45,60,51,78,53,77,118,91,79,72,49,38,
DEC,44,42,64,55,77,37,83,131,90,83,74,50,38,
